ID,Título Serie o Película,Duración,Género,Calificación,Fecha,ID Episodio,Título Episodio,Temporada,Episodio
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.6,2011–,tt2178772,"Dark Wings, Dark Words",3,2
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.9,2011–,tt2178802,Walk of Punishment,3,3
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.6,2011–,tt2178798,And Now His Watch Is Ended,3,4
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.0,2011–,tt2178788,Kissed by Fire,3,5
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.8,2011–,tt2178812,The Climb,3,6
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.7,2011–,tt2178814,The Bear and the Maiden Fair,3,7
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.0,2011–,tt2178806,Second Sons,3,8
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.9,2011–,tt2178784,The Rains of Castamere,3,9
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.1,2011–,tt2178796,Mhysa,3,10
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.1,2011–,tt2816136,Two Swords,4,1
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.7,2011–,tt2832378,The Lion and the Rose,4,2
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.9,2011–,tt2972426,Breaker of Chains,4,3
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.8,2011–,tt2972428,Oathkeeper,4,4
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.7,2011–,tt3060856,First of His Name,4,5
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.7,2011–,tt3060910,The Laws of Gods and Men,4,6
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.1,2011–,tt3060876,Mockingbird,4,7
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.7,2011–,tt3060782,The Mountain and the Viper,4,8
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.6,2011–,tt3060858,The Watchers on the Wall,4,9
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.7,2011–,tt3060860,The Children,4,10
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.5,2011–,tt3658012,The Wars to Come,5,1
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.5,2011–,tt3846626,The House of Black and White,5,2
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.5,2011–,tt3866836,High Sparrow,5,3
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.7,2011–,tt3866838,Sons of the Harpy,5,4
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.6,2011–,tt3866840,Kill the Boy,5,5
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.0,2011–,tt3866842,"Unbowed, Unbent, Unbroken",5,6
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.0,2011–,tt3866846,The Gift,5,7
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.9,2011–,tt3866850,Hardhome,5,8
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.5,2011–,tt3866826,The Dance of Dragons,5,9
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.1,2011–,tt3866862,Mother's Mercy,5,10
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.5,2011–,tt3658014,The Red Woman,6,1
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.4,2011–,tt4077554,Home,6,2
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.7,2011–,tt4131606,Oathbreaker,6,3
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.1,2011–,tt4283016,Book of the Stranger,6,4
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.7,2011–,tt4283028,The Door,6,5
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.4,2011–,tt4283054,Blood of My Blood,6,6
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.6,2011–,tt4283060,The Broken Man,6,7
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.4,2011–,tt4283074,No One,6,8
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.9,2011–,tt4283088,Battle of the Bastards,6,9
